"No.","External ID","Name","Name 2","Address","Address 2","County","Post Code","City","Country/Region Code","Phone No.","Telex No.","Fax No.","Telex Answer Back","Territory Code","Currency Code","Language Code","Salesperson Code","VAT Registration No.","Email","Home Page","Type","Company Name","Company No.","First Name","Middle Name","Surname","Job Title","Initials","Extension No.","Mobile Phone No.","Pager","Organizational Level Code","Exclude from Segment","Correspondence Type","Salutation Code"
"CT000029","","Nieuwe Zandpoort NV","","Nieuwstraat 28","","","BE-2200","Herentals","BE","","","","","FOREIGN","EUR","NLB","JR","456456456","nieuwe.zandpoort.nv@contoso.com","","Company","Nieuwe Zandpoort NV","CT000029","","","","","","","","","","No"," ","COMPANY"
"CT000030","","Kevin Verboort","","Nieuwstraat 28","","","BE-2200","Herentals","BE","","","","","FOREIGN","","NLB","JR","","kevin.verboort@contoso.com","","Person","Nieuwe Zandpoort NV","CT000029","Kevin","","Verboort","","","","","","","No"," ","UNISEX"
"CT000031","","Antarcticopy","","Katwilgweg 274","","","BE-2050","Antwerpen","BE","","","","","FOREIGN","EUR","NLB","JR","778998789","antarcticopy@contoso.com","","Company","Antarcticopy","CT000031","","","","","","","","","","No"," ","COMPANY"
"CT000032","","Michael Zeman","","Katwilgweg 274","","","BE-2050","Antwerpen","BE","","","","","FOREIGN","","NLB","JR","","michael.zeman@contoso.com","","Person","Antarcticopy","CT000031","Michael","","Zeman","","","","","","","No"," ","UNISEX"
"CT000033","","Lovaina Contractors","","Vuurberg 137","","","BE-3000","Leuven","BE","","","","","FOREIGN","EUR","NLB","JR","456123456","lovaina.contractors@contoso.com","","Company","Lovaina Contractors","CT000033","","","","","","","","","","No"," ","COMPANY"
"CT000034","","Hans Visser","","Vuurberg 137","","","BE-3000","Leuven","BE","","","","","FOREIGN","","NLB","JR","","hans.visser@contoso.com","","Person","Lovaina Contractors","CT000033","Hans","","Visser","","","","","","","No"," ","UNISEX"
"CT000035","","Corporación Beta","","Avda. Europa 2","","","ES-46007","Valencia","ES","","","","","FOREIGN","EUR","ESP","JR","46145456T","corporacion.beta@contoso.com","","Company","Corporación Beta","CT000035","","","","","","","","","","No"," ","COMPANY"
"CT000036","","Srta. Vanessa Garcia Garcia","","Avda. Europa 2","","","ES-46007","Valencia","ES","","","","","FOREIGN","","ESP","JR","","srta.vanessa.garcia.garcia@contoso.com","","Person","Corporación Beta","CT000035","Srta. Vanessa","Garcia","Garcia","","","","","","","No"," ","UNISEX"
"CT000037","","Libros S.A.","","Plaza Redonda 12","","","ES-08010","Barcelona","ES","","","","","FOREIGN","EUR","ESP","JR","08208612T","libros.sa@contoso.com","","Company","Libros S.A.","CT000037","","","","","","","","","","No"," ","COMPANY"
"CT000038","","Sr. Oscar Alfonso Caceres","","Plaza Redonda 12","","","ES-08010","Barcelona","ES","","","","","FOREIGN","","ESP","JR","","sr.oscar.alfonso.caceres@contoso.com","","Person","Libros S.A.","CT000037","Sr. Oscar","Alfonso","Caceres","","","","","","","No"," ","UNISEX"
"CT000039","","Helguera industrial","","c/ Paz 5","","","ES-28003","Madrid","ES","","","","","FOREIGN","EUR","ESP","JR","28012001T","helguera.industrial@contoso.com","","Company","Helguera industrial","CT000039","","","","","","","","","","No"," ","COMPANY"
"CT000040","","Sr. Ramon Garcia Noblejas","","c/ Paz 5","","","ES-28003","Madrid","ES","","","","","FOREIGN","","ESP","JR","","sr.ramon.garcia.noblejas@contoso.com","","Person","Helguera industrial","CT000039","Sr. Ramon","Garcia","Noblejas","","","","","","","No"," ","UNISEX"
"CT000041","","Bilabankinn","","Skemmuvegur 4","","","IS-200","Kopavogur","IS","","","","","FOREIGN","ISK","ISL","JR","","bilabankinn@contoso.com","","Company","Bilabankinn","CT000041","","","","","","","","","","No"," ","COMPANY"
"CT000042","","Kristjan Thor Arnason","","Skemmuvegur 4","","","IS-200","Kopavogur","IS","","","","","FOREIGN","","ISL","JR","","kristjan.thor.arnason@contoso.com","","Person","Bilabankinn","CT000041","Kristjan","Thor","Arnason","","","","","","","No"," ","UNISEX"
"CT000043","","Gagn & Gaman","","Reykjavikurvegi 66","","","IS-220","Hafnafjordur","IS","","","","","FOREIGN","ISK","ISL","JR","","gagn.gaman@contoso.com","","Company","Gagn & Gaman","CT000043","","","","","","","","","","No"," ","COMPANY"
"CT000044","","Ragnheidur K. Gudmundsdottir","","Reykjavikurvegi 66","","","IS-220","Hafnafjordur","IS","","","","","FOREIGN","","ISL","JR","","ragnheidur.k.gudmundsdottir@contoso.com","","Person","Gagn & Gaman","CT000043","Ragnheidur","K.","Gudmundsdottir","","","","","","","No"," ","UNISEX"
"CT000045","","Heimilisprydi","","Hallarmula","","","IS-108","Reykjavik","IS","","","","","FOREIGN","ISK","ISL","JR","10753","heimilisprydi@contoso.com","","Company","Heimilisprydi","CT000045","","","","","","","","","","No"," ","COMPANY"
"CT000046","","Gunnar Orn Thorsteinsson","","Hallarmula","","","IS-108","Reykjavik","IS","","","","","FOREIGN","","ISL","JR","","gunnar.orn.thorsteinsson@contoso.com","","Person","Heimilisprydi","CT000045","Gunnar","Orn","Thorsteinsson","","","","","","","No"," ","UNISEX"
"CT000047","","MEMA Ljubljana d.o.o.","","Slovenska ccsta 127","","","SI-1000","Ljubljana","SI","","","","","FOREIGN","EUR","SLV","JR","","mema.ljubljana.doo@contoso.com","","Company","MEMA Ljubljana d.o.o.","CT000047","","","","","","","","","","No"," ","COMPANY"
"CT000048","","g. Bostjan Lukan","","Slovenska ccsta 127","","","SI-1000","Ljubljana","SI","","","","","FOREIGN","","SLV","JR","","g.bostjan.lukan@contoso.com","","Person","MEMA Ljubljana d.o.o.","CT000047","g.","Bostjan","Lukan","","","","","","","No"," ","UNISEX"
"CT000049","","EXPORTLES d.o.o.","","Zvornarska ulica 5","","","SI-1000","Ljubljana","SI","","","","","FOREIGN","EUR","SLV","JR","","exportles.doo@contoso.com","","Company","EXPORTLES d.o.o.","CT000049","","","","","","","","","","No"," ","COMPANY"
"CT000050","","ga. Katja Valjavec","","Zvornarska ulica 5","","","SI-1000","Ljubljana","SI","","","","","FOREIGN","","SLV","JR","","ga.katja.valjavec@contoso.com","","Person","EXPORTLES d.o.o.","CT000049","ga.","Katja","Valjavec","","","","","","","No"," ","UNISEX"
"CT000051","","Centromerkur d.o.o.","","Tabor 23","","","SI-2000","Maribor","SI","","","","","FOREIGN","EUR","SLV","JR","","centromerkur.doo@contoso.com","","Company","Centromerkur d.o.o.","CT000051","","","","","","","","","","No"," ","COMPANY"
"CT000052","","ga. Renata Lavtar","","Tabor 23","","","SI-2000","Maribor","SI","","","","","FOREIGN","","SLV","JR","","ga.renata.lavtar@contoso.com","","Person","Centromerkur d.o.o.","CT000051","ga.","Renata","Lavtar","","","","","","","No"," ","UNISEX"
"CT000053","","BYT-KOMPLET s.r.o.","","V.Nezvala 5","","","CZ-687 01","Bojkovice","CZ","","","","","FOREIGN","CZK","CSY","JR","","byt-komplet.sro@contoso.com","","Company","BYT-KOMPLET s.r.o.","CT000053","","","","","","","","","","No"," ","COMPANY"
"CT000054","","Milos Silhan","","V.Nezvala 5","","","CZ-687 01","Bojkovice","CZ","","","","","FOREIGN","","CSY","JR","","milos.silhan@contoso.com","","Person","BYT-KOMPLET s.r.o.","CT000053","Milos","","Silhan","","","","","","","No"," ","UNISEX"
"CT000055","","J & V v.o.s.","","Fillova 128","","","CZ-696 42","Vracov","CZ","","","","","FOREIGN","CZK","CSY","JR","","j.v.vos@contoso.com","","Company","J & V v.o.s.","CT000055","","","","","","","","","","No"," ","COMPANY"
"CT000056","","Petr Karasek","","Fillova 128","","","CZ-696 42","Vracov","CZ","","","","","FOREIGN","","CSY","JR","","petr.karasek@contoso.com","","Person","J & V v.o.s.","CT000055","Petr","","Karasek","","","","","","","No"," ","UNISEX"
"CT000057","","PLECHKONSTRUKT a.s.","","Loosova 14","","","CZ-669 02","Znojmo","CZ","","","","","FOREIGN","CZK","CSY","JR","","plechkonstrukt.as@contoso.com","","Company","PLECHKONSTRUKT a.s.","CT000057","","","","","","","","","","No"," ","COMPANY"
"CT000058","","Michal Relich","","Loosova 14","","","CZ-669 02","Znojmo","CZ","","","","","FOREIGN","","CSY","JR","","michal.relich@contoso.com","","Person","PLECHKONSTRUKT a.s.","CT000057","Michal","","Relich","","","","","","","No"," ","UNISEX"
"CT000059","","Designstudio Gmunden","","Seepromenade 1b","","","AT-4810","Gmunden","AT","","","","","FOREIGN","EUR","DEA","JR","ATU89759098","designstudio.gmunden@contoso.com","","Company","Designstudio Gmunden","CT000059","","","","","","","","","","No"," ","COMPANY"
"CT000060","","Fr. Birgitte Vestphael","","Seepromenade 1b","","","AT-4810","Gmunden","AT","","","","","FOREIGN","","DEA","JR","","fr.birgitte.vestphael@contoso.com","","Person","Designstudio Gmunden","CT000059","Fr.","Birgitte","Vestphael","","","","","","","No"," ","UNISEX"
"CT000061","","Michael Feit - Möbelhaus","","Straße 33, Obj. 11","","","AT-2355","Wr. Neudorf","AT","","","","","FOREIGN","EUR","DEA","JR","ATU72660458","michael.feit.mobelhaus@contoso.com","","Company","Michael Feit - Möbelhaus","CT000061","","","","","","","","","","No"," ","COMPANY"
"CT000062","","Hr. Carl Langhorn","","Straße 33, Obj. 11","","","AT-2355","Wr. Neudorf","AT","","","","","FOREIGN","","DEA","JR","","hr.carl.langhorn@contoso.com","","Person","Michael Feit - Möbelhaus","CT000061","Hr.","Carl","Langhorn","","","","","","","No"," ","UNISEX"
"CT000063","","Möbel Siegfried","","Raxstraße 47","","","AT-1100","Wien","AT","","","","","FOREIGN","EUR","DEA","JR","ATU12456832","mobel.siegfried@contoso.com","","Company","Möbel Siegfried","CT000063","","","","","","","","","","No"," ","COMPANY"
"CT000064","","Hr. Dr. Daniel Weisman","","Raxstraße 47","","","AT-1100","Wien","AT","","","","","FOREIGN","","DEA","JR","","hr.dr.daniel.weisman@contoso.com","","Person","Möbel Siegfried","CT000063","Hr. Dr.","Daniel","Weisman","","","","","","","No"," ","UNISEX"
"CT000065","","Candoxy Kontor A/S","","Carl Blochs Gade 7","","","DK-8000","Arhus C","DK","","","","","FOREIGN","DKK","DAN","JR","78945612","candoxy.kontor.as@contoso.com","","Company","Candoxy Kontor A/S","CT000065","","","","","","","","","","No"," ","COMPANY"
"CT000066","","Hr. Jonathan Mollerup","","Carl Blochs Gade 7","","","DK-8000","Arhus C","DK","","","","","FOREIGN","","DAN","JR","","hr.jonathan.mollerup@contoso.com","","Person","Candoxy Kontor A/S","CT000065","Hr.","Jonathan","Mollerup","","","","","","","No"," ","UNISEX"
"CT000067","","Carl Anthony","","De Mezas Plads 917B","","","DK-8000","Arhus C","DK","","","","","FOREIGN","DKK","DAN","JR","44495666","carl.anthony@contoso.com","","Company","Carl Anthony","CT000067","","","","","","","","","","No"," ","COMPANY"
"CT000068","","Hr. Carl Anthony","","De Mezas Plads 917B","","","DK-8000","Arhus C","DK","","","","","FOREIGN","","DAN","JR","","hr.carl.anthony@contoso.com","","Person","Carl Anthony","CT000067","Hr.","Carl","Anthony","","","","","","","No"," ","UNISEX"
"CT000069","","Ravel Møbler","","Parkvej 44","","","DK-5800","Nyborg","DK","","","","","FOREIGN","DKK","DAN","JR","12345679","ravel.mobler@contoso.com","","Company","Ravel Møbler","CT000069","","","","","","","","","","No"," ","COMPANY"
"CT000070","","Fr. Karen Berg","","Parkvej 44","","","DK-5800","Nyborg","DK","","","","","FOREIGN","","DAN","JR","","fr.karen.berg@contoso.com","","Person","Ravel Møbler","CT000069","Fr.","Karen","Berg","","","","","","","No"," ","UNISEX"
"CT000071","","Lauritzen Kontormøbler A/S","","Jomfru Ane Gade 56","","","DK-9000","Alborg","DK","","","","","FOREIGN","DKK","DAN","JR","63254178","lauritzen.kontormobler.as@contoso.com","","Company","Lauritzen Kontormøbler A/S","CT000071","","","","","","","","","","No"," ","COMPANY"
"CT000072","","Fr. Jenny Gottfried","","Jomfru Ane Gade 56","","","DK-9000","Alborg","DK","","","","","FOREIGN","","DAN","JR","","fr.jenny.gottfried@contoso.com","","Person","Lauritzen Kontormøbler A/S","CT000071","Fr.","Jenny","Gottfried","","","","","","","No"," ","UNISEX"
"CT000073","","Marsholm Karmstol","","Tylö Fackhandel","","","SE-302 50","Halmstad","SE","","","","","FOREIGN","SEK","SVE","JR","999999999901","marsholm.karmstol@contoso.com","","Company","Marsholm Karmstol","CT000073","","","","","","","","","","No"," ","COMPANY"
"CT000074","","Konberg Tapet AB","","Linnégatan 15","","","SE-550 05","Jonkobing","SE","","","","","FOREIGN","SEK","SVE","JR","888888888801","konberg.tapet.ab@contoso.com","","Company","Konberg Tapet AB","CT000074","","","","","","","","","","No"," ","COMPANY"
"CT000075","","Englunds Kontorsmöbler AB","","Kungsgatan 18","","","SE-600 03","Norrkobing","SE","","","","","FOREIGN","SEK","SVE","JR","777777777701","englunds.kontorsmobler.ab@contoso.com","","Company","Englunds Kontorsmöbler AB","CT000075","","","","","","","","","","No"," ","COMPANY"
"CT000076","","Slubrevik Senger AS","","Storgt. 5","","","NO-1370","Asker","NO","","","","","FOREIGN","NOK","NOR","JR","","slubrevik.senger.as@contoso.com","","Company","Slubrevik Senger AS","CT000076","","","","","","","","","","No"," ","COMPANY"
"CT000077","","Jenny Lysaker","","Storgt. 5","","","NO-1370","Asker","NO","","","","","FOREIGN","","NOR","JR","","jenny.lysaker@contoso.com","","Person","Slubrevik Senger AS","CT000076","Jenny","","Lysaker","","","","","","","No"," ","UNISEX"
"CT000078","","Klubben","","Skogveien 3","","","NO-1344","Haslum","NO","","","","","FOREIGN","NOK","NOR","JR","","klubben@contoso.com","","Company","Klubben","CT000078","","","","","","","","","","No"," ","COMPANY"
"CT000079","","Thomas Andersen","","Skogveien 3","","","NO-1344","Haslum","NO","","","","","FOREIGN","","NOR","JR","","thomas.andersen@contoso.com","","Person","Klubben","CT000078","Thomas","","Andersen","","","","","","","No"," ","UNISEX"
"CT000080","","Sjøboden","","Ytre Sandgt. 13","","","NO-1300","Sandvika","NO","","","","","FOREIGN","NOK","NOR","JR","","sjoboden@contoso.com","","Company","Sjøboden","CT000080","","","","","","","","","","No"," ","COMPANY"
"CT000081","","Flemming Pedersen","","Ytre Sandgt. 13","","","NO-1300","Sandvika","NO","","","","","FOREIGN","","NOR","JR","","flemming.pedersen@contoso.com","","Person","Sjøboden","CT000080","Flemming","","Pedersen","","","","","","","No"," ","UNISEX"
"CT000082","","Beef House","","Südermarkt 6","","","DE-40593","Dusseldorf","DE","","","","","FOREIGN","EUR","DEU","JR","632541794","beef.house@contoso.com","","Company","Beef House","CT000082","","","","","","","","","","No"," ","COMPANY"
"CT000083","","Frau Karin Fleischer","","Südermarkt 6","","","DE-40593","Dusseldorf","DE","","","","","FOREIGN","","DEU","JR","","frau.karin.fleischer@contoso.com","","Person","Beef House","CT000082","Frau","Karin","Fleischer","","","","","","","No"," ","UNISEX"
"CT000084","","Autohaus Mielberg KG","","Porschestraße 911","","","DE-22417","Hamburg 36","DE","","","","","FOREIGN","EUR","DEU","JR","525252141","autohaus.mielberg.kg@contoso.com","","Company","Autohaus Mielberg KG","CT000084","","","","","","","","","","No"," ","COMPANY"
"CT000085","","Hotel Pferdesee","","Plett Straße 187","","","DE-60320","Frankfurt/Main","DE","","","","","FOREIGN","EUR","DEU","JR","963963963","hotel.pferdesee@contoso.com","","Company","Hotel Pferdesee","CT000085","","","","","","","","","","No"," ","COMPANY"
"CT000086","","Herrn Jonathan Haas","","Plett Straße 187","","","DE-60320","Frankfurt/Main","DE","","","","","FOREIGN","","DEU","JR","","herrn.jonathan.haas@contoso.com","","Person","Hotel Pferdesee","CT000085","Herrn","Jonathan","Haas","","","","","","","No"," ","UNISEX"
"CT000087","","Afrifield Corporation","","100 Maidstone Ave.","","","ME5 6RL","Maidstone","GB","","","","","SE","","ENG","PS","609458790","afrifield.corporation@contoso.com","","Company","Afrifield Corporation","CT000087","","","","","","","","","","No"," ","COMPANY"
"CT000088","","Mrs. Ariane Peeters","","100 Maidstone Ave.","","","ME5 6RL","Maidstone","GB","","","","","SE","","ENG","PS","","mrs.ariane.peeters@contoso.com","","Person","Afrifield Corporation","CT000087","Mrs.","Ariane","Peeters","","","","","","","No"," ","UNISEX"
"CT000089","","Zuni Home Crafts Ltd.","","456 Main Street","","","DY5 4DJ","Dudley","GB","","","","","MID","","ENG","PS","879132357","zuni.home.crafts.ltd@contoso.com","","Company","Zuni Home Crafts Ltd.","CT000089","","","","","","","","","","No"," ","COMPANY"
"CT000090","","Mr. James R. Hamilton","","456 Main Street","","","DY5 4DJ","Dudley","GB","","","","","MID","","ENG","PS","","mr.james.r.hamilton@contoso.com","","Person","Zuni Home Crafts Ltd.","CT000089","Mr. James","R.","Hamilton","","","","","","","No"," ","UNISEX"
"CT000091","","London Light Company","","235 Peachtree Street","","","PE17 4RN","Cambridge","GB","","","","","EANG","","ENG","PS","748863386","london.light.company@contoso.com","","Company","London Light Company","CT000091","","","","","","","","","","No"," ","COMPANY"
"CT000092","","Mr. Mathew Charles","","235 Peachtree Street","","","PE17 4RN","Cambridge","GB","","","","","EANG","","ENG","PS","","mr.mathew.charles@contoso.com","","Person","London Light Company","CT000091","Mr.","Mathew","Charles","","","","","","","No"," ","UNISEX"
"CT000093","","Möbel Scherrer AG","","Rheinstrasse 2","","","CH-8200","Schaffhausen","CH","","","","","FOREIGN","CHF","DES","JR","CHE-145.456.123MWST","mobel.scherrer.ag@contoso.com","","Company","Möbel Scherrer AG","CT000093","","","","","","","","","","No"," ","COMPANY"
"CT000094","","Herrn Stefan Delmarco","","Rheinstrasse 2","","","CH-8200","Schaffhausen","CH","","","","","FOREIGN","","DES","JR","","herrn.stefan.delmarco@contoso.com","","Person","Möbel Scherrer AG","CT000093","Herrn","Stefan","Delmarco","","","","","","","No"," ","UNISEX"
"CT000095","","Pilatus AG","","Bergstrasse 12","","","CH-6005","Luzern","CH","","","","","FOREIGN","CHF","DES","JR","CHE-123.456.789 TVA","pilatus.ag@contoso.com","","Company","Pilatus AG","CT000095","","","","","","","","","","No"," ","COMPANY"
"CT000096","","Fr. Gabriele Dickmann","","Bergstrasse 12","","","CH-6005","Luzern","CH","","","","","FOREIGN","","DES","JR","","fr.gabriele.dickmann@contoso.com","","Person","Pilatus AG","CT000095","Fr.","Gabriele","Dickmann","","","","","","","No"," ","UNISEX"
"CT000097","","Sonnmatt Design","","Sonnmattstrasse 5","","","CH-8152","Glattbrugg","CH","","","","","FOREIGN","CHF","DES","JR","CHE-145.456.457 IVA","sonnmatt.design@contoso.com","","Company","Sonnmatt Design","CT000097","","","","","","","","","","No"," ","COMPANY"
"CT000098","","Fr. Annelie Zuber","","Sonnmattstrasse 5","","","CH-8152","Glattbrugg","CH","","","","","FOREIGN","","DES","JR","","fr.annelie.zuber@contoso.com","","Person","Sonnmatt Design","CT000097","Fr.","Annelie","Zuber","","","","","","","No"," ","UNISEX"
"CT000099","","Candoxy Canada Inc.","","18 Cumberland Street","","","CA-ON P7B 5E2","Thunder Bay","CA","","","","","FOREIGN","CAD","ENC","JR","","candoxy.canada.inc@contoso.com","","Company","Candoxy Canada Inc.","CT000099","","","","","","","","","","No"," ","COMPANY"
"CT000100","","Mr. Rob Young","","18 Cumberland Street","","","CA-ON P7B 5E2","Thunder Bay","CA","","","","","FOREIGN","","ENC","JR","","mr.rob.young@contoso.com","","Person","Candoxy Canada Inc.","CT000099","Mr.","Rob","Young","","","","","","","No"," ","UNISEX"
"CT000101","","Elkhorn Airport","","105 Buffalo Dr.","","","CA-MB R0M 0N0","Elkhorn","CA","","","","","FOREIGN","CAD","ENC","JR","","elkhorn.airport@contoso.com","","Company","Elkhorn Airport","CT000101","","","","","","","","","","No"," ","COMPANY"
"CT000102","","Mr. Ryan Danner","","105 Buffalo Dr.","","","CA-MB R0M 0N0","Elkhorn","CA","","","","","FOREIGN","","ENC","JR","","mr.ryan.danner@contoso.com","","Person","Elkhorn Airport","CT000101","Mr.","Ryan","Danner","","","","","","","No"," ","UNISEX"
"CT000103","","London Candoxy Storage Campus","","120 Wellington Rd.","","","CA-ON N6B 1V7","London","CA","","","","","FOREIGN","CAD","ENC","JR","","london.candoxy.storage.campus@contoso.com","","Company","London Candoxy Storage Campus","CT000103","","","","","","","","","","No"," ","COMPANY"
